id,med_income
1500000US120090669001,250000
1500000US120610505011,250000
1500000US120710802042,250000
1500000US120860001301,250000
1500000US120860045001,250000
1500000US120860073001,250000
1500000US120860078011,250000
1500000US120860079022,250000
1500000US120860080001,250000
1500000US120860080002,250000
1500000US121199117013,250000
1500000US120310010002,2500
1500000US120860005033,2500
1500000US120860078063,244688
1500000US120610505013,240952
1500000US120990003032,240417
1500000US120860081013,235568
1500000US120110703133,230341
1500000US120860078062,226406
1500000US120990075041,226125
1500000US120860045002,216083
1500000US120850005022,213929
1500000US121150019071,212596
1500000US120860038014,211667
1500000US120860046023,208750
1500000US120570060003,208462
1500000US120950158012,208125
1500000US120570059004,205852
1500000US120860074001,205145
1500000US120990077131,203487
1500000US120860082052,203179
1500000US121030273163,203125
1500000US120110703182,202803
1500000US120860081023,202750
1500000US120570110153,202700
1500000US120950158022,202569
1500000US121090207081,198750
1500000US120110703061,195089
1500000US120860046071,194018
1500000US120990035073,193068
1500000US120860061025,191563
1500000US120990005071,190833
1500000US120990070082,190270
1500000US120210102093,190192
1500000US121170207032,188824
1500000US120110702083,185438
1500000US120990070083,185313
1500000US120860073003,184375
1500000US120710802032,183750
1500000US120990002111,180000
1500000US120990035091,179464
1500000US120860041023,177955
1500000US120570064002,177639
1500000US120860061024,177155
1500000US120860001293,175962
1500000US120860082051,175556
1500000US120860039062,173942
1500000US120110703181,172819
1500000US120570115172,172155
1500000US121030273251,171250
1500000US120210004021,170729
1500000US120860027036,170500
1500000US120860198001,170353
1500000US120860084102,170048
1500000US120990054091,170000
1500000US120570115122,169917
1500000US120710802044,168929
1500000US120879702002,168750
1500000US120990076102,168750
1500000US120210102153,168068
1500000US120860080003,166094
1500000US120950128004,165938
1500000US120860001223,163661
1500000US120990076153,163500
1500000US120860078073,162600
1500000US120110105031,161250
1500000US120860084055,160938
1500000US120310167111,160921
1500000US120860039061,160893
1500000US120860011021,160588
1500000US120570115094,160347
1500000US120570102102,160290
1500000US120110703062,160000
1500000US120860082054,159896
1500000US120570110081,159338
1500000US120570111072,159145
1500000US120860041061,158636
1500000US120570115121,157946
1500000US120860078054,157625
1500000US120110703154,156080
1500000US120990077353,155741
1500000US120860080004,155703
1500000US120860060011,155446
1500000US120860081011,155347
1500000US120990059371,154911
1500000US120860079012,154500
1500000US120570110084,154492
1500000US120860061023,154408
1500000US120570060001,154205
1500000US120570054012,154167
1500000US120110601212,153261
1500000US120570117082,152847
1500000US120110703063,152792
1500000US120730017001,152750
1500000US120570067002,152159
1500000US120570071022,152159
1500000US120890502012,152153
1500000US120110703192,151471
1500000US120570139211,151250
1500000US120570059005,151098
1500000US120110106011,150197
1500000US120860082053,150104
1500000US121090207112,150000
1500000US120860074003,149792
1500000US120990070091,149643
1500000US120110105032,149632
1500000US120570102112,149167
1500000US120860082072,148875
1500000US120910233033,148750
1500000US120990070052,147917
1500000US120990059032,147875
1500000US120990077533,147250
1500000US120990035071,147000
1500000US120310007002,146806
1500000US120050027022,146685
1500000US120860068023,146031
1500000US120710401171,145972
1500000US120860083054,145972
1500000US121030237002,145139
1500000US120570059003,144375
1500000US120210005001,144167
1500000US120110705012,143603
1500000US121150008013,143295
1500000US121030273231,143000
1500000US121170207033,142841
1500000US120860068022,142604
1500000US121090207061,141591
1500000US120860084163,141176
1500000US120570134143,140838
1500000US120860079013,140813
1500000US120710401153,140179
1500000US121170207031,140167
1500000US120860078072,139722
1500000US120950171051,139554
1500000US120110607003,138750
1500000US120110920001,138750
1500000US120950128005,138750
1500000US120990078351,138235
1500000US120990077481,138090
1500000US120990003012,138029
1500000US120860076042,137917
1500000US120860082071,137344
1500000US120990074202,137337
1500000US120860001152,136875
1500000US120860067073,136860
1500000US120860077023,136818
1500000US120860075011,136500
1500000US120310130001,136364
1500000US120950157011,136136
1500000US120570060002,136065
1500000US121030201061,135893
1500000US120860078061,135855
1500000US120860084154,135750
1500000US120570115063,135096
1500000US120860046022,134764
1500000US120860082022,134625
1500000US120990077601,134453
1500000US120010022082,134375
1500000US120990003011,134250
1500000US120860075013,134118
1500000US120710401131,134103
1500000US120990076045,134018
1500000US120110702051,133750
1500000US120990077132,133711
1500000US120860082073,133438
1500000US120110703203,133171
1500000US120950160023,132917
1500000US120570102122,132788
1500000US120570115072,132417
1500000US120111103313,132148
1500000US120860082093,132041
1500000US120570110122,132031
1500000US120910210013,132019
1500000US120860079023,131625
1500000US120710401162,131528
1500000US120860012052,131528
1500000US120860082024,131477
1500000US120860067071,131161
1500000US121030240043,131107
1500000US120860084153,130871
1500000US120860081012,130811
1500000US120110702091,130801
1500000US120990070112,130625
1500000US120110610012,130352
1500000US120860046021,130350
1500000US120860067027,130313
1500000US120110424001,130250
1500000US120860046072,129722
1500000US120950155012,129453
1500000US120860084093,129219
1500000US120090694002,129195
1500000US120950157022,129107
1500000US121090207101,128954
1500000US120110106013,128889
1500000US120860083052,128750
1500000US121170213133,128261
1500000US120310144062,127841
1500000US120910210021,127500
1500000US120110705013,127396
1500000US120850006041,127292
1500000US120110106012,127102
1500000US120860082061,127063
1500000US120860190004,126964
1500000US120990076171,126806
1500000US121170208034,126293
1500000US120730024162,126228
1500000US120860001202,125966
1500000US121090207051,125833
1500000US121090207041,125766
1500000US120860067091,125705
1500000US120730024171,125469
1500000US120950158011,125417
1500000US120990002141,125347
1500000US120860067072,125272
1500000US120990077621,125208
1500000US120110703163,124808
1500000US120570054011,124762
1500000US120860085022,124676
1500000US120110703161,124625
1500000US120110301001,124327
1500000US120310143302,124167
1500000US120810017032,124107
1500000US120990077303,124097
1500000US120990070071,123958
1500000US121030251201,123839
1500000US120990070093,123819
1500000US120210102051,123750
1500000US120990078141,123750
1500000US120570133102,123611
1500000US120110406022,123558
1500000US120950171092,123500
1500000US121030273241,123393
1500000US120990002062,123281
1500000US120990070062,123214
1500000US121150006012,123158
1500000US120570114091,123000
1500000US120950156012,122813
1500000US121050106031,122778
1500000US120810020141,122531
1500000US120910209003,122472
1500000US120110109011,122300
1500000US120111103253,122255
1500000US120950161002,122143
1500000US121150008011,122083
1500000US120570115192,121750
1500000US120570115173,121473
1500000US120110703202,121250
1500000US120570061013,120938
1500000US120570102093,120909
1500000US120990001021,120888
1500000US121090207054,120854
1500000US120990074121,120804
1500000US120110703042,120631
1500000US120010022193,120441
1500000US120010022072,120125
1500000US120990059381,120030
1500000US120570115183,119625
1500000US120860191001,119598
1500000US120310168042,119583
1500000US120190307033,119554
1500000US120860062063,119531
1500000US120860084092,119500
1500000US120111103281,119313
1500000US120570115222,119254
1500000US120860061011,119028
1500000US120570133103,118875
1500000US120990035093,118875
1500000US120990074071,118864
1500000US120850016021,118750
1500000US120570064001,118603
1500000US120210102092,118520
1500000US120570062003,118438
1500000US120570053011,117978
1500000US120310143262,117952
1500000US120860084143,117917
1500000US120570067003,117813
1500000US120860084056,117734
1500000US120190307031,117658
1500000US120110703122,117583
1500000US120990002102,117554
1500000US120990003033,117554
1500000US120570059001,117348
1500000US120210102081,117283
1500000US120860083053,117125
1500000US120110601213,116974
1500000US120990074162,116827
1500000US120570102094,116667
1500000US121150008023,116429
1500000US120860084103,116339
1500000US120860061022,116250
1500000US121090208051,116186
1500000US120570067004,115859
1500000US120730024172,115543
1500000US120570125033,115469
1500000US121150007004,115469
1500000US120860073004,115417
1500000US120990070072,115357
1500000US120730017005,115197
1500000US120110106122,115089
1500000US120860084052,115089
1500000US120111103013,114917
1500000US120990079091,114886
1500000US120860001291,114868
1500000US120610505033,114821
1500000US121150019081,114737
1500000US120860039191,114432
1500000US120710503051,114398
1500000US120990035072,114250
1500000US120860039212,114070
1500000US120310164004,114063
1500000US120990076101,114028
1500000US121090208032,114000
1500000US120210112013,113767
1500000US120570114181,113702
1500000US121030268152,113676
1500000US120860082063,113617
1500000US120110106053,113611
1500000US120860076052,113611
1500000US120110106033,113438
1500000US120710802033,113421
1500000US120210101063,113304
1500000US120950156011,113304
1500000US120110605042,113239
1500000US120110703141,113203
1500000US120570132083,113194
1500000US120860195003,113065
1500000US120210006001,112917
1500000US120570115182,112917
1500000US120810018004,112917
1500000US120110703162,112857
1500000US120879718001,112794
1500000US120110702081,112763
1500000US120860084152,112750
1500000US120210104182,112667
1500000US120810020031,112650
1500000US120570059006,112606
1500000US120860001153,112596
1500000US121010321062,112596
1500000US121170213063,112569
1500000US120111103212,112500
1500000US120860082091,112444
1500000US120570125031,112417
1500000US121090208071,112375
1500000US120990076124,112328
1500000US120860082092,112321
1500000US120990074161,112222
1500000US120570116072,112188
1500000US120860061012,112031
1500000US120860068021,111902
1500000US120990002152,111875
1500000US120110702092,111776
1500000US121130109001,111771
1500000US120950158021,111607
1500000US120110106032,111597
1500000US120860084161,111591
1500000US121170217071,111563
1500000US120860073002,111477
1500000US120570064003,111458
1500000US120111103032,111346
1500000US120310144081,111324
1500000US120860001334,111307
1500000US120860076061,111250
1500000US120950156022,111250
1500000US120990054111,111250
1500000US120990054112,111250
1500000US120210003022,111161
1500000US120950188002,111161
1500000US120860074002,111094
1500000US120950156021,111094
1500000US120990003031,111078
1500000US120610505035,110991
1500000US120990059463,110946
1500000US120110101033,110833
1500000US120310165005,110781
1500000US120860001135,110764
1500000US120010022081,110729
1500000US121030273211,110724
1500000US120950171071,110694
1500000US121090205001,110655
1500000US120570134074,110547
1500000US120990010031,110491
1500000US120990070053,110481
1500000US120990077342,110208
1500000US120110105041,110142
1500000US120110106014,110074
1500000US120310144091,110057
1500000US120950160022,109960
1500000US120110704021,109945
1500000US120111103301,109891
1500000US120570115211,109886
1500000US121130109002,109875
1500000US120570102114,109861
1500000US121030272081,109667
1500000US120570115093,109559
1500000US120570115201,109492
1500000US121030250122,109471
1500000US120111103023,109410
1500000US120860001232,109375
1500000US120310140012,109231
1500000US121030201071,109188
1500000US120990069121,109167
1500000US120570102051,109091
1500000US120860040004,109063
1500000US120010022053,109013
1500000US120111103431,109007
1500000US120730024121,108811
1500000US120990078181,108750
1500000US120990079092,108750
1500000US121030240042,108720
1500000US120110703191,108684
1500000US120110404021,108646
1500000US120860090352,108633
1500000US120190307032,108559
1500000US121030273102,108472
1500000US121030224012,108458
1500000US120730024141,108450
1500000US120860074005,108362
1500000US120570115191,108304
1500000US120860083051,108200
1500000US120730025082,108199
1500000US121010322001,108194
1500000US120570063002,108173
1500000US120111103272,108125
1500000US121090206023,108125
1500000US120730025121,108024
1500000US121030269081,107981
1500000US120990002081,107951
1500000US120110705011,107930
1500000US120990078052,107875
1500000US120110311022,107857
1500000US120860077022,107820
1500000US120110609003,107750
1500000US120860001333,107633
1500000US120990070113,107628
1500000US120860041021,107625
1500000US120570139221,107463
1500000US121010319021,107450
1500000US120570110121,107432
1500000US120850016011,107431
1500000US120990077254,107292
1500000US120860090431,107188
1500000US120860173002,107143
1500000US120990078223,107115
1500000US120190308013,107096
1500000US121030268153,107063
1500000US120860075012,106964
1500000US121090208061,106951
1500000US120110425002,106944
1500000US120090694003,106875
1500000US120570062001,106875
1500000US120570110161,106875
1500000US120950175013,106797
1500000US120570132032,106781
1500000US121130108173,106771
1500000US120310139053,106667
1500000US120210004011,106591
1500000US120990078302,106583
1500000US120990035092,106514
1500000US120570110085,106500
1500000US120570111071,106500
1500000US120570058001,106458
1500000US120570060004,106344
1500000US120990077231,106250
1500000US121030201063,106250
1500000US121030280021,106250
1500000US120730023023,106125
1500000US120730024131,106117
1500000US120190307035,106065
1500000US120570063004,106061
1500000US120190303013,106016
1500000US120110602121,105972
1500000US120990070101,105972
1500000US120860061013,105875
1500000US120010010005,105859
1500000US120860090361,105839
1500000US120330026022,105703
1500000US121170207013,105645
1500000US120110703171,105637
1500000US120310168051,105610
1500000US121170213161,105556
1500000US120990077212,105461
1500000US120730017003,105417
1500000US120990077211,105341
1500000US121150013041,105341
1500000US121150012033,105333
1500000US120710503071,105313
1500000US120110601211,105231
1500000US120990002112,105231
1500000US120860001331,105161
1500000US120860082083,105060
1500000US121170216092,105000
1500000US120860043011,104943
1500000US120860106124,104929
1500000US120110703134,104891
1500000US120110610011,104875
1500000US120860084174,104875
1500000US120730024084,104821
1500000US121150019052,104821
1500000US120110420002,104688
1500000US120210110011,104643
1500000US120860040002,104625
1500000US120850006101,104615
1500000US121030273104,104615
